mysql: [Warning] Using a password on the command line interface can be insecure.
OZ12968100	天津市鸿泰乐尔之家八纬路店	NULL	NULL	NULL	NULL	NULL	1500	7100	211
OZ31137757	宝山荣上记忆家园（耆乐园失智专区）	NULL	NULL	NULL	NULL	NULL	NULL	NULL	50
OZ31164689	上海宝山区逸仙养老院	NULL	NULL	NULL	NULL	NULL	近6000㎡	13288㎡	421
OZ31307499	上海星辰家养老院	NULL	30	NULL	NULL	NULL	7200平方	1.2万平方	330
OZ31542804	太保家园普陀社区	NULL	NULL	NULL	NULL	NULL	NULL	NULL	288
PK049d1bfe-21f1-4342-b855-aca7e146f761	香河大爱书院养老中心	NULL			55	120	3200016	3000000	621
PK320dbd5b-d8f3-4a44-ac15-3caebfe67d7e	北京永春堂颐养中心	NULL			60	120	1200	2400	65
PK611efa4d-9f3f-4117-a966-33b70cbae25d	仁帝山康养基地	NULL	50	30	50	100	133330	250000	1000
PK794ce3e6-48a7-461e-92b7-d1a05640d011	柳州东城海阳颐养中心	NULL	35		NULL	NULL	9727.22	17250.55	372
PK824fe82f-51e1-4b40-85b5-7fffcc7a85b6	侨辉·天颐康养城	NULL	40	70	NULL	NULL	11.65万方	4.4万方	108
PK8a5bd9a8-3203-40b0-9e91-faaa8ba21120	新华家园莲花池尊享公寓	NULL			60	120		24000	360
PK90e94fc3-360d-4c7b-9716-9fcf5e1cc15f	首善人家·北京人寿康养中心	NULL			60	120	59000		2500
PKb4521edb-bc1c-4ad3-9417-e833b71cc7e1	悦年华颐养中心（北京瀛海）	NULL		34.98	60	120		18378	340
PKb7c08a77-6ab8-484a-868c-b5ea03be5dbf	鑫颐·太湖椿	NULL			35	99	200亩		1500
PKce56aeb5-bd6a-4db7-a8b6-f3641cd4cdd7	悦年华·长沙天心颐养中心（天心区社会福利中心）	NULL	70	60	60	120	8021	14869	329
PKd47e21d6-2f42-43f7-93b2-8b139bbe5ca7	康宁津园	NULL			60	120	250000	440000	4000
PKd564ae95-ab88-46ca-b81a-b949af0f9815	银城康养象山颐养中心	NULL			NULL	NULL		4000㎡	160
PKdf662d45-0ab9-4136-91ca-18bd95f419cc	上海香树湾国际养老社区	NULL	75		NULL	NULL		约10.6万平方米	600
PKe2e5457a-5346-4e8b-8759-197c316dc4f8	椿萱茂·和园长者社区		70	35	60	110		48800	450
PKe48cb28e-70f7-4842-bf75-1efdc22b1a61	北京九华康养社区	NULL		85	50	100	345333	560000	2504
